state,district,id,name,votes %,money %,poll %
AZ,04,H2AZ04143,"Weisser, Mike",25.79,9.693927794977698,25.0
NM,03,H2NM03157,"Byrd, Jefferson L. ",38.45,18.090885823296485,31.0
CA,28,H0CA27085,"Schiff, Adam B.",76.5,99.4084551841179,68.0
PA,13,H0PA13080,"Adcock, Carson Dee",32.88,25.321175621765086,27.0
PA,03,H0PA03271,"Kelly, Mike",60.63,63.71562489051339,55.0
KS,03,H4KS03188,"Kultala, Kelly",39.98,21.877697574065923,37.0
OK,02,H2OK02083,"Mullin, Markwayne",70.03,100.00000000000001,64.0
CT,04,H0CT04146,"Debicella, Dan",46.239999999999995,44.23681494819892,40.0
FL,03,H4FL03110,"Wheeler, Marihelen",32.3,12.29582095294512,28.0
IL,15,H4IL15071,"Thorsland, Eric",25.08,4.426568160758147,27.0
NC,05,H4NC05146,"Foxx, Virginia",61.02,98.65410111643499,58.0
MI,12,H4MI12079,"Dingell, Debbie",65.01,95.52673430740862,53.0
CA,10,H0CA19173,"Denham, Jeff",56.15,51.07675424231213,47.0
FL,23,H2FL20043,"Kaufman, Joseph ""Joe""",37.33,27.080768512522155,34.0
PA,04,H2PA04135,"Perry, Scott",74.54,97.67922398473212,59.0
CO,01,H6CO01141,"DeGette, Diana",65.81,97.33436598102107,58.0
TX,15,H6TX15055,"Hinojosa, Rubén",54.01,53.40548037347772,58.0
MI,10,H6MI12181,"Miller, Candice S.",68.68,100.0,55.0
OR,02,H6OR02116,"Walden, Greg ",70.41,93.23197560263935,60.0
VA,08,H4VA08182,"Edmond, Micah K.",31.42,5.354335309233004,21.0
TX,15,H6TX15113,"Zamora, Eddie",43.26,46.59451962652228,38.0
CA,34,H2CA30143,"Becerra, Xavier",72.54,100.0,53.0
FL,09,H6FL08213,"Grayson, Alan",53.97,88.21454341680317,61.0
AZ,06,H2AZ05132,"Williamson, W. John",35.14,0.4284559373991831,33.0
TX,28,H2TX23082,"Cuellar, Henry",82.1,100.00000000000001,42.0
CA,17,H4CA12055,"Khanna, Ro",48.25,58.777623275752745,41.0
AK,00,H4AK00123,"Dunbar, Forrest ",40.97,33.537906157957835,28.0
ID,02,H2ID02018,"Stallings, Richard ",38.64,7.95248352310881,26.0
MD,03,H6MD03292,"Sarbanes, John ",59.55,99.96134978755332,55.0
WA,07,H8WA07132,"McDermott, Jim",80.97,96.39561844866283,76.0
NY,02,H8NY04050,"Maher, Patricia",30.01,1.3974813762357277,42.0
IN,03,H0IN03198,"Stutzman, Marlin A.",69.15,99.87405884499209,74.0
NY,17,H4NY17135,"Day, Christopher E.",43.54,10.73027957506265,37.0
TX,18,H4TX18054,"Jackson Lee, Sheila",71.78,98.54777990590485,70.0
HI,01,H0HI01157,"Djou, Charles",48.07,41.95771698067331,35.0
MI,04,H4MI04126,"Moolenaar, John",56.49,88.15897032023103,55.0
TX,18,H2TX18140,"Seibert, Sean",24.76,1.4522200940951597,22.0
NC,08,H2NC08219,"Blue, Antonio",35.14,1.915265733681867,33.0
NV,04,H4NV04017,"Hardy, Cresent",48.53,30.29379579570534,36.0
TX,05,H2TX05121,"Hensarling, Jeb",85.36,100.0,67.0
TX,08,H6TX08100,"Brady, Kevin",89.32,100.0,71.0
NY,11,H8NY13069,"Recchia, Domenic M., Jr.",42.14,67.73148235318666,39.0
TX,01,H2TX01062,"McKellar, Shirley J.",22.53,5.0598161946577145,25.0
AZ,04,H0AZ01259,"Gosar, Paul",69.96,90.3060722050223,65.0
LA,06,H4LA06120,"Thomas, ""Trey""",0.56,12.526075776048566,46.0
MD,06,H4MD06191,"Bongino, Dan ",48.25,58.96930722415116,38.0
MA,06,H2MA00014,"Tisei, Richard R.",41.14,32.31698965343087,40.0
NC,08,H2NC08185,"Hudson, Richard",64.86,98.08473426631814,57.0
CA,20,H4CA17021,"Farr, Sam",75.18,99.88204238203336,60.0
MO,08,H4MO08162,"Smith, Jason ",66.65,95.04474599667518,70.0
IL,14,H0IL14080,"Hultgren, Randall M. ""Randy"" ",65.41,89.83070547035392,60.0
OH,07,H0OH18077,"Gibbs, Bob ",100.0,100.0,64.0
AR,04,H4AR04048,"Westerman, Bruce",53.75,45.579924554476904,34.0
CA,53,H4CA53059,"Wilske, Larry A.",41.16,21.40043358745356,33.0
CO,01,H4CO01112,"Walsh, Martin",28.97,2.6656340189789347,29.0
FL,08,H8FL15107,"Posey, Bill",65.84,86.44525722743711,57.0
NM,03,H8NM03196,"Lujan, Ben R.",61.52,81.90911417670353,49.0
TX,07,H0TX07055,"Culberson, John",63.26,87.13390540103035,61.0
NY,23,H0NY29054,"Reed, Thomas W., II",61.66,41.515248456743706,49.0
MD,04,H6MD04183,"Edwards, Donna F. ",70.18,96.3037006297822,71.0
WA,02,H4WA02157,"Guillot, B.J. ",39.43,1.7594671664353123,31.0
TN,01,H6TN01388,"Roe, Phil",82.84,100.0,68.0
IN,09,H0IN09070,"Young, Todd",62.56,94.81668294181794,64.0
NM,01,H8NM01257,"Lujan Grisham, Michelle",58.59,78.44024842077631,49.0
NC,13,H2NC13110,"Holding, George",57.31,92.83213195446356,62.0
NC,01,H4NC01095,"Rich, Arthur",26.62,6.381885122715667,22.0
CO,07,H4CO07036,"Ytterberg, Don",44.93,19.305391829127736,39.0
ID,01,H4ID01081,"Ringo, Shirley G.",34.99,35.37385255638544,30.0
WA,09,H4WA09061,"Basler, Doug",29.17,2.8091660173115978,23.0
VA,07,H4VA07150,"Trammell, John K. ""Jack""",74.76,28.521714042020403,35.0
CA,13,H4CA13087,"Sundeen, Dakin",11.52,0.326691132387376,11.0
CA,19,H4CA16049,"Lofgren, Zoe",67.21,100.0,58.0
AZ,05,H4AZ01038,"Salmon, Matt",69.58,90.39641384413237,56.0
TX,12,H6TX12060,"Granger, Kay",71.31,92.99730878692975,53.0
NC,11,H2NC11080,"Meadows, Mark",62.9,93.84481148979405,59.0
AZ,08,H4AZ04024,"Franks, Trent",75.81,100.0,68.0
IL,10,H2IL10068,"Schneider, Brad",48.7,56.28666361639622,45.0
FL,17,H8FL16022,"Rooney, Tom",63.24,91.66682251121775,56.0
LA,06,H4LA06179,"Whitney, Lenar",7.41,6.006921767917041,46.0
TX,33,H2TX33073,"Veasey, Marc",86.51,100.0,77.0
FL,22,H2FL14053,"Frankel, Lois",58.03,97.76272163985854,57.0
VA,09,H0VA09055,"Griffith, H. Morgan ",72.15,100.0,71.0
NY,05,H8NY06048,"Meeks, Gregory  W.",94.85,100.0,58.0
CA,10,H4CA10075,"Eggman, Michael",43.85,48.923245757687866,40.0
NC,11,H4NC11086,"Hill, Tom",37.1,6.155188510205936,34.0
MA,09,H0MA10082,"Keating, William Richard ",54.95,52.289165003636704,50.0
MD,02,H2MD02160,"Ruppersberger, C. A. Dutch ",61.32,99.11729188077437,60.0
OR,03,H6OR03064,"Blumenauer, Earl ",72.33,97.92064954857855,61.0
OH,16,H0OH16097,"Renacci, Jim",63.74,96.82500426416188,68.0
NV,02,H4NV02151,"Spees, Kristen ",27.93,2.470052955617178,24.0
VA,01,H4VA01070,"Mosher, Norman G. ""Norm",34.38,11.834564292611635,38.0
CA,16,H2CA16100,"Tacherra, Johnny",49.27,28.99450978803466,34.0
NJ,10,H2NJ10154,"Payne, Donald M., Jr.",85.38,100.0,67.0
KY,03,H6KY03124,"Yarmuth, John A.",63.49,63.47459684549942,57.0
NJ,02,H2NJ02037,"LoBiondo, Frank A. ",61.46,54.232490085173765,52.0
LA,05,H4LA05213,"Tarpley, ""Ed""",1.92,2.518189511524306,41.0
CA,30,H6CA24113,"Sherman, Brad",65.64,98.77185602938602,59.0
NY,26,H4NY26052,"Weppner, Kathleen A.",31.85,8.723142652739522,26.0
OH,01,H8OH01043,"Chabot, Steve",63.22,92.7211560592199,57.0
